#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  data_models: https://data.humantumoratlas.org/data_models/
#  htan2_data_model: https://data.humantumoratlas.org/htan2_data_model/
#  caDSR: https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=
#mapping_set_id: https://github.com/ncihtan/htan-model-mappings/mappings/data_models_to_htan2_data_model/clinical_fields
#mapping_set_description: Clinical_fields-level mappings from ncihtan/data-models@v25.2.1 to ncihtan/htan2-data-model@v1.3.0
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2026-03-16
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
data_models:Exposure/Years Smoked	Years Smoked	skos:exactMatch	htan2_data_model:Exposure/YEARS_SMOKED	YEARS_SMOKED	semapv:DatabaseCrossReference	1.0	Matched by caDSR ID: 3137957
data_models:Molecular Test/Amino Acid Change	Amino Acid Change	skos:exactMatch	htan2_data_model:MolecularTest/AA_CHANGE	AA_CHANGE	semapv:LogicalReasoning	0.95	Direct match: both capture amino acid changes in variants.
data_models:Diagnosis/Classification of Tumor	Classification of Tumor	skos:exactMatch	htan2_data_model:Diagnosis/TUMOR_CLASSIFICATION_CATEGORY	TUMOR_CLASSIFICATION_CATEGORY	semapv:MappingReview	0.95	Both classify tumor type with matching valid values and reference to caDSR:12922545 in the source comment. Confidence retained at 0.95 (not 1.0) because the justification was LogicalReasoning in the original; the caDSR match is noted in the comment but was not verified via DatabaseCrossReference matching. Justification updated to MappingReview to reflect this QA check.
data_models:Exposure/Alcohol History	Alcohol History	skos:closeMatch	htan2_data_model:Exposure/ALCOHOL_HISTORY_INDICATOR	ALCOHOL_HISTORY_INDICATOR	semapv:LogicalReasoning	0.9	Both indicate whether individual has consumed alcohol. Different caDSR IDs but semantically equivalent.
data_models:Demographics/Cause of Death	Cause of Death	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH	CAUSE_OF_DEATH	semapv:LexicalMatching	0.9	Matched by normalized name: cause_of_death
data_models:Demographics/Cause of Death Source	Cause of Death Source	skos:exactMatch	htan2_data_model:VitalStatus/CAUSE_OF_DEATH_SOURCE	CAUSE_OF_DEATH_SOURCE	semapv:LexicalMatching	0.9	Matched by normalized name: cause_of_death_source
data_models:Molecular Test/Clinical Biospecimen Type	Clinical Biospecimen Type	skos:exactMatch	htan2_data_model:MolecularTest/CLINICAL_BIOSPECIMEN_TYPE	CLINICAL_BIOSPECIMEN_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: clinical_biospecimen_type
data_models:Molecular Test/Copy Number	Copy Number	skos:exactMatch	htan2_data_model:MolecularTest/COPY_NUMBER	COPY_NUMBER	semapv:LexicalMatching	0.9	Matched by normalized name: copy_number
data_models:Follow Up/Days to Follow Up	Days to Follow Up	skos:closeMatch	htan2_data_model:FollowUp/AGE_IN_DAYS_AT_FOLLOWUP	AGE_IN_DAYS_AT_FOLLOWUP	semapv:LogicalReasoning	0.9	Both track follow-up timing. HTAN2 uses age in days; HTAN1 uses days from index.
data_models:Follow Up/Days to Progression	Days to Progression	skos:closeMatch	htan2_data_model:FollowUp/AGE_IN_DAYS_AT_PROGRESSION_OR_RECURRENCE	AGE_IN_DAYS_AT_PROGRESSION_OR_RECURRENCE	semapv:LogicalReasoning	0.9	Both track progression timing. Different temporal reference (age vs days from index).
data_models:Therapy/Days to Treatment End	Days to Treatment End	skos:closeMatch	htan2_data_model:Therapy/AGE_IN_DAYS_AT_TREATMENT_END	AGE_IN_DAYS_AT_TREATMENT_END	semapv:LogicalReasoning	0.9	Both track treatment end timing. Different temporal reference.
data_models:Therapy/Days to Treatment Start	Days to Treatment Start	skos:closeMatch	htan2_data_model:Therapy/AGE_IN_DAYS_AT_TREATMENT_START	AGE_IN_DAYS_AT_TREATMENT_START	semapv:LogicalReasoning	0.9	Both track treatment start timing. Different temporal reference.
data_models:Follow Up/Disease Response	Disease Response	skos:exactMatch	htan2_data_model:FollowUp/DISEASE_RESPONSE	DISEASE_RESPONSE	semapv:LexicalMatching	0.9	Matched by normalized name: disease_response
data_models:Follow Up/Evidence of Recurrence Type	Evidence of Recurrence Type	skos:exactMatch	htan2_data_model:FollowUp/EVIDENCE_OF_RECURRENCE_TYPE	EVIDENCE_OF_RECURRENCE_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: evidence_of_recurrence_type
data_models:Molecular Test/Exon	Exon	skos:exactMatch	htan2_data_model:MolecularTest/EXON	EXON	semapv:LexicalMatching	0.9	Matched by normalized name: exon
data_models:Molecular Test/Gene Symbol	Gene Symbol	skos:exactMatch	htan2_data_model:MolecularTest/GENE_SYMBOL	GENE_SYMBOL	semapv:LexicalMatching	0.9	Matched by normalized name: gene_symbol
data_models:Therapy/Initial Disease Status	Initial Disease Status	skos:exactMatch	htan2_data_model:Therapy/INITIAL_DISEASE_STATUS	INITIAL_DISEASE_STATUS	semapv:LexicalMatching	0.9	Matched by normalized name: initial_disease_status
data_models:Diagnosis/Last Known Disease Status	Last Known Disease Status	skos:exactMatch	htan2_data_model:Diagnosis/LAST_KNOWN_DISEASE_STATUS	LAST_KNOWN_DISEASE_STATUS	semapv:LexicalMatching	0.9	Matched by normalized name: last_known_disease_status
data_models:Diagnosis/Metastasis at Diagnosis	Metastasis at Diagnosis	skos:exactMatch	htan2_data_model:Diagnosis/METASTASIS_AT_DIAGNOSIS	METASTASIS_AT_DIAGNOSIS	semapv:LexicalMatching	0.9	Matched by normalized name: metastasis_at_diagnosis
data_models:Diagnosis/Method of Diagnosis	Method of Diagnosis	skos:exactMatch	htan2_data_model:Diagnosis/METHOD_OF_DIAGNOSIS	METHOD_OF_DIAGNOSIS	semapv:LexicalMatching	0.9	Matched by normalized name: method_of_diagnosis
data_models:Molecular Test/Molecular Analysis Method	Molecular Analysis Method	skos:exactMatch	htan2_data_model:MolecularTest/MOLECULAR_ANALYSIS_METHOD	MOLECULAR_ANALYSIS_METHOD	semapv:LexicalMatching	0.9	Matched by normalized name: molecular_analysis_method
data_models:Molecular Test/Molecular Consequence	Molecular Consequence	skos:exactMatch	htan2_data_model:MolecularTest/MOLECULAR_CONSEQUENCE	MOLECULAR_CONSEQUENCE	semapv:LexicalMatching	0.9	Matched by normalized name: molecular_consequence
data_models:Therapy/Number of Cycles	Number of Cycles	skos:exactMatch	htan2_data_model:Therapy/NUMBER_OF_CYCLES	NUMBER_OF_CYCLES	semapv:LexicalMatching	0.9	Matched by normalized name: number_of_cycles
data_models:Molecular Test/Pathogenicity	Pathogenicity	skos:exactMatch	htan2_data_model:MolecularTest/PATHOGENICITY	PATHOGENICITY	semapv:LexicalMatching	0.9	Matched by normalized name: pathogenicity
data_models:Therapy/Reason Treatment Was Stopped	Reason Treatment Was Stopped	skos:closeMatch	htan2_data_model:Therapy/OFF_TREATMENT_REASON	OFF_TREATMENT_REASON	semapv:LogicalReasoning	0.9	Both capture reason for treatment cessation with overlapping value sets.
data_models:Therapy/Regimen or Line of Therapy	Regimen or Line of Therapy	skos:exactMatch	htan2_data_model:Therapy/REGIMEN_OR_LINE_OF_THERAPY	REGIMEN_OR_LINE_OF_THERAPY	semapv:LexicalMatching	0.9	Matched by normalized name: regimen_or_line_of_therapy
data_models:Family History/Relative with Cancer History	Relative with Cancer History	skos:closeMatch	htan2_data_model:FamilyHistory/FAMILY_MEMBER_CANCER_HISTORY	FAMILY_MEMBER_CANCER_HISTORY	semapv:LogicalReasoning	0.9	Both indicate whether any relative has cancer history with matching Yes/No values.
data_models:Family History/Relatives with Cancer History Count	Relatives with Cancer History Count	skos:closeMatch	htan2_data_model:FamilyHistory/RELATIVES_WITH_CANCER_HISTORY	RELATIVES_WITH_CANCER_HISTORY	semapv:LogicalReasoning	0.9	Both capture count of relatives with cancer history.
data_models:Molecular Test/Test Analyte Type	Test Analyte Type	skos:exactMatch	htan2_data_model:MolecularTest/TEST_ANALYTE_TYPE	TEST_ANALYTE_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: test_analyte_type
data_models:Molecular Test/Test Result	Test Result	skos:exactMatch	htan2_data_model:MolecularTest/TEST_RESULT	TEST_RESULT	semapv:LexicalMatching	0.9	Matched by normalized name: test_result
data_models:Molecular Test/Test Units	Test Units	skos:exactMatch	htan2_data_model:MolecularTest/TEST_UNITS	TEST_UNITS	semapv:LexicalMatching	0.9	Matched by normalized name: test_units
data_models:Therapy/Therapeutic Agents	Therapeutic Agents	skos:exactMatch	htan2_data_model:Therapy/THERAPEUTIC_AGENTS	THERAPEUTIC_AGENTS	semapv:LexicalMatching	0.9	Matched by normalized name: therapeutic_agents
data_models:Exposure/Tobacco Smoking Status	Tobacco Smoking Status	skos:closeMatch	htan2_data_model:Exposure/SMOKING_HISTORY	SMOKING_HISTORY	semapv:LogicalReasoning	0.9	Both capture smoking status with matching value sets. Different caDSR IDs but same concept.
data_models:Therapy/Treatment Intent Type	Treatment Intent Type	skos:exactMatch	htan2_data_model:Therapy/TREATMENT_INTENT_TYPE	TREATMENT_INTENT_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: treatment_intent_type
data_models:Therapy/Treatment Outcome	Treatment Outcome	skos:closeMatch	htan2_data_model:Therapy/RESPONSE	RESPONSE	semapv:LogicalReasoning	0.9	Both capture treatment efficacy/response with matching value sets.
data_models:Therapy/Treatment Type	Treatment Type	skos:exactMatch	htan2_data_model:Therapy/TREATMENT_TYPE	TREATMENT_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: treatment_type
data_models:Diagnosis/Tumor Grade	Tumor Grade	skos:exactMatch	htan2_data_model:Diagnosis/TUMOR_GRADE	TUMOR_GRADE	semapv:LexicalMatching	0.9	Matched by normalized name: tumor_grade
data_models:Molecular Test/Variant Origin	Variant Origin	skos:exactMatch	htan2_data_model:MolecularTest/VARIANT_ORIGIN	VARIANT_ORIGIN	semapv:LexicalMatching	0.9	Matched by normalized name: variant_origin
data_models:Molecular Test/Variant Type	Variant Type	skos:exactMatch	htan2_data_model:MolecularTest/VARIANT_TYPE	VARIANT_TYPE	semapv:LexicalMatching	0.9	Matched by normalized name: variant_type
data_models:Diagnosis/Age at Diagnosis	Age at Diagnosis	skos:closeMatch	htan2_data_model:Diagnosis/AGE_IN_DAYS_AT_DIAGNOSIS	AGE_IN_DAYS_AT_DIAGNOSIS	semapv:LogicalReasoning	0.85	Both measure age at diagnosis. Target uses days; source uses years. Requires unit conversion.
data_models:Diagnosis/Days to Last Known Disease Status	Days to Last Known Disease Status	skos:closeMatch	htan2_data_model:Diagnosis/AGE_IN_DAYS_AT_LAST_KNOWN_DISEASE_STATUS	AGE_IN_DAYS_AT_LAST_KNOWN_DISEASE_STATUS	semapv:LogicalReasoning	0.85	Both measure time to last disease status. HTAN2 uses age in days; HTAN1 uses days from index date.
data_models:Follow Up/Progression or Recurrence Anatomic Site	Progression or Recurrence Anatomic Site	skos:closeMatch	htan2_data_model:FollowUp/PROGRESSION_OR_RECURRENCE_ANATOMIC_SITE_UBERON_CODE	PROGRESSION_OR_RECURRENCE_ANATOMIC_SITE_UBERON_CODE	semapv:LogicalReasoning	0.85	Same concept. HTAN2 requires UBERON codes; HTAN1 uses text terms.
data_models:Therapy/Treatment Anatomic Site	Treatment Anatomic Site	skos:closeMatch	htan2_data_model:Therapy/THERAPY_ANATOMIC_SITE_UBERON_CODE	THERAPY_ANATOMIC_SITE_UBERON_CODE	semapv:LogicalReasoning	0.85	Same concept: treatment location. HTAN2 uses UBERON codes; HTAN1 uses text terms.
data_models:Demographics/Vital Status	Vital Status	skos:closeMatch	htan2_data_model:VitalStatus/VITAL_STATUS	VITAL_STATUS	semapv:MappingReview	0.85	Corrected target from ClinicalData/VITAL_STATUS (a container reference) to VitalStatus/VITAL_STATUS (the actual field). Cross-class mapping: HTAN1 stores vital status in Demographics; HTAN2 has a dedicated VitalStatus class. closeMatch because the concept is the same but structural placement differs.
data_models:Patient/Demographics	Demographics	skos:closeMatch	htan2_data_model:ClinicalData/DEMOGRAPHICS	DEMOGRAPHICS	semapv:MappingReview	0.8	Structural container reference: Patient/Demographics in HTAN1 maps to the DEMOGRAPHICS reference slot in HTAN2 ClinicalData. These operate at different structural levels (HTAN1 component reference vs HTAN2 list slot), so closeMatch at reduced confidence is appropriate rather than exactMatch.
data_models:Patient/Diagnosis	Diagnosis	skos:closeMatch	htan2_data_model:ClinicalData/DIAGNOSIS	DIAGNOSIS	semapv:MappingReview	0.8	Structural container reference: Patient/Diagnosis in HTAN1 maps to the DIAGNOSIS reference slot in HTAN2 ClinicalData. These operate at different structural levels, so closeMatch at reduced confidence is appropriate rather than exactMatch.
data_models:Patient/Exposure	Exposure	skos:closeMatch	htan2_data_model:ClinicalData/EXPOSURES	EXPOSURES	semapv:MappingReview	0.8	Structural container reference: Patient/Exposure in HTAN1 maps to the EXPOSURES reference slot in HTAN2 ClinicalData. These operate at different structural levels (singular component reference vs plural list slot), so closeMatch at reduced confidence is appropriate. Confidence reduced from 0.95 and predicate changed from exactMatch.
data_models:Patient/Family History	Family History	skos:closeMatch	htan2_data_model:ClinicalData/FAMILY_HISTORY	FAMILY_HISTORY	semapv:MappingReview	0.8	Structural container reference: Patient/Family History in HTAN1 maps to the FAMILY_HISTORY reference slot in HTAN2 ClinicalData. These operate at different structural levels, so closeMatch at reduced confidence is appropriate rather than exactMatch.
data_models:Patient/Follow Up	Follow Up	skos:closeMatch	htan2_data_model:ClinicalData/FOLLOW_UPS	FOLLOW_UPS	semapv:MappingReview	0.8	Structural container reference: Patient/Follow Up in HTAN1 maps to the FOLLOW_UPS reference slot in HTAN2 ClinicalData. These operate at different structural levels (singular component reference vs plural list slot), so closeMatch at reduced confidence is appropriate. Confidence reduced from 0.95 and predicate changed from exactMatch.
data_models:Demographics/Gender	Gender	skos:closeMatch	htan2_data_model:Demographics/GENDER_IDENTITY	GENDER_IDENTITY	semapv:MappingReview	0.8	HTAN1 Gender (caDSR:2200604) was a conflated field covering both gender identity and biological sex. HTAN2 splits these into GENDER_IDENTITY and SEX. Gender→GENDER_IDENTITY is the primary conceptual match; confidence adjusted down from 0.9 to 0.8 to reflect that the source field was not exclusively a gender-identity field.
data_models:Patient/Molecular Test	Molecular Test	skos:closeMatch	htan2_data_model:ClinicalData/MOLECULAR_TESTS	MOLECULAR_TESTS	semapv:MappingReview	0.8	Structural container reference: Patient/Molecular Test in HTAN1 maps to the MOLECULAR_TESTS reference slot in HTAN2 ClinicalData. These operate at different structural levels (singular component reference vs plural list slot), so closeMatch at reduced confidence is appropriate. Confidence reduced from 0.95 and predicate changed from exactMatch.
data_models:Patient/Therapy	Therapy	skos:closeMatch	htan2_data_model:ClinicalData/THERAPIES	THERAPIES	semapv:MappingReview	0.8	Structural container reference: Patient/Therapy in HTAN1 maps to the THERAPIES reference slot in HTAN2 ClinicalData. These operate at different structural levels (singular component reference vs plural list slot), so closeMatch at reduced confidence is appropriate. Confidence reduced from 0.95 and predicate changed from exactMatch.
data_models:Diagnosis/Tissue or Organ of Origin	Tissue or Organ of Origin	skos:closeMatch	htan2_data_model:Diagnosis/TISSUE_OR_ORGAN_OF_ORIGIN_UBERON_CODE	TISSUE_OR_ORGAN_OF_ORIGIN_UBERON_CODE	semapv:LogicalReasoning	0.8	Both identify anatomic site of disease origin. Target requires UBERON codes; source provides text terms.
data_models:Diagnosis/Progression or Recurrence	Progression or Recurrence	skos:closeMatch	htan2_data_model:FollowUp/PROGRESSION_OR_RECURRENCE	PROGRESSION_OR_RECURRENCE	semapv:MappingReview	0.75	Cross-class mapping: HTAN1 records progression/recurrence under Diagnosis; HTAN2 moved this to FollowUp. Name match is exact but structural placement differs, warranting closeMatch rather than exactMatch. Confidence reduced from 0.9 to 0.75 to reflect cross-class uncertainty.
data_models:Diagnosis/Progression or Recurrence Type	Progression or Recurrence Type	skos:closeMatch	htan2_data_model:FollowUp/PROGRESSION_OR_RECURRENCE_TYPE	PROGRESSION_OR_RECURRENCE_TYPE	semapv:MappingReview	0.75	Cross-class mapping: HTAN1 records progression/recurrence type under Diagnosis; HTAN2 moved this to FollowUp. Name match is exact but structural placement differs, warranting closeMatch rather than exactMatch. Confidence reduced from 0.9 to 0.75 to reflect cross-class uncertainty.
data_models:Demographics/Gender	Gender	skos:broadMatch	htan2_data_model:Demographics/SEX	SEX	semapv:MappingReview	0.6	HTAN1 Gender (caDSR:2200604) was labeled 'Gender' not 'Sex', but the field conflated biological sex and gender identity. HTAN2 SEX is a narrower, more precise concept. The original field name and label suggest gender intent, so this is a broad mapping of the HTAN1 field to the biological-sex interpretation it also captured. Confidence adjusted down from 0.7 to 0.6 per the broadMatch guidance for this split.
data_models:Molecular Test/Test Value	Test Value	skos:narrowMatch	htan2_data_model:MolecularTest/MOLECULAR_ANALYSIS_RESULT	MOLECULAR_ANALYSIS_RESULT	semapv:LogicalReasoning	0.6	Target is categorical result (Positive/Negative); source is numeric value. Related but different granularity.
data_models:Exposure/Environmental Tobacco Smoke Exposure	Environmental Tobacco Smoke Exposure	skos:broadMatch	htan2_data_model:Exposure/ENVIRONMENTAL_EXPOSURE	ENVIRONMENTAL_EXPOSURE	semapv:LogicalReasoning	0.5	Target is general environmental exposure; source is specific to tobacco smoke. Target is broader.
